name,category,status,source_url,last_reviewed
1Password,Security & Privacy,No standalone official program; access via GitHub Student Pack,https://studentdealslab.com/tools/1password-student-discount/,2026-08-13
Adobe,Design,Available for eligible students,https://studentdealslab.com/tools/adobe-student-discount/,2026-08-13
Autodesk,Engineering Software,Free 1-year educational access,https://studentdealslab.com/tools/autodesk-student-discount/,2026-08-13
AWS Educate,Cloud Credits,Free training; credits not guaranteed,https://studentdealslab.com/tools/aws-educate-student-discount/,2026-08-13
Azure for Students,Cloud Credits,"$100 free credit, no card required",https://studentdealslab.com/tools/azure-for-students-discount/,2026-08-13
Canva,Design,K-12 education access; campus access depends on school,https://studentdealslab.com/tools/canva-student-discount/,2026-08-13
ChatGPT,AI chatbot,No public student discount,https://studentdealslab.com/tools/chatgpt-student-discount/,2026-08-13
Claude Code,AI coding,No student discount; billed through your Claude plan,https://studentdealslab.com/tools/claude-code-student-discount/,2026-08-13
Claude,AI chatbot,No public student discount,https://studentdealslab.com/tools/claude-student-discount/,2026-08-13
Codex CLI,AI coding,Reported $100 student credit; not confirmed on OpenAI's own page,https://studentdealslab.com/tools/codex-cli-student-discount/,2026-08-13
Coursera,Online Learning,No dedicated student discount,https://studentdealslab.com/tools/coursera-student-discount/,2026-08-13
Cursor,AI coding,Official student page available,https://studentdealslab.com/tools/cursor-student-discount/,2026-08-13
Dropbox,Productivity,No dedicated official program; third-party discount exists,https://studentdealslab.com/tools/dropbox-student-discount/,2026-08-13
Duolingo,Online Learning,Program appears discontinued / inconsistent,https://studentdealslab.com/tools/duolingo-student-discount/,2026-08-13
ElevenLabs,AI audio,No public student discount verified,https://studentdealslab.com/tools/elevenlabs-student-discount/,2026-08-13
Figma,Design,Free education plan available,https://studentdealslab.com/tools/figma-student-discount/,2026-08-13
GitHub Copilot,AI coding,Check GitHub Education status,https://studentdealslab.com/tools/github-copilot-student-discount/,2026-08-13
GitHub Student Developer Pack,Developer Tools,Official student pack available,https://studentdealslab.com/tools/github-student-developer-pack/,2026-08-13
Google Cloud for Education,Cloud Credits,Depends on instructor/course enrollment,https://studentdealslab.com/tools/google-cloud-education-discount/,2026-08-13
Grammarly,Writing,Institution discounts available,https://studentdealslab.com/tools/grammarly-student-discount/,2026-08-13
HeyGen,AI video,No public student discount verified,https://studentdealslab.com/tools/heygen-student-discount/,2026-08-13
JetBrains,Developer Tools,Free 1-year educational license,https://studentdealslab.com/tools/jetbrains-student-discount/,2026-08-13
MATLAB,Engineering Software,Official $119/year student subscription,https://studentdealslab.com/tools/mathworks-matlab-student-discount/,2026-08-13
NordVPN,Security & Privacy,Discount via Student Beans verification,https://studentdealslab.com/tools/nordvpn-student-discount/,2026-08-13
Notion AI,Productivity,Free education Plus plan available,https://studentdealslab.com/tools/notion-ai-student-discount/,2026-08-13
Perplexity,AI research,Verify current official offers,https://studentdealslab.com/tools/perplexity-student-discount/,2026-08-13
Replit,AI coding,No current public student discount confirmed,https://studentdealslab.com/tools/replit-student-discount/,2026-08-13
Runway,AI video,No public student discount verified,https://studentdealslab.com/tools/runway-student-discount/,2026-08-13
Squarespace,Website Builder,Official 50% off first year,https://studentdealslab.com/tools/squarespace-student-discount/,2026-08-13
Unity,Developer Tools,Free Student Plan (renewable),https://studentdealslab.com/tools/unity-student-discount/,2026-08-13
Windsurf,AI coding,Student terms exist; public signup path is unstable,https://studentdealslab.com/tools/windsurf-student-discount/,2026-08-13
Wolfram Mathematica,Engineering Software,Discounted student subscription,https://studentdealslab.com/tools/wolfram-mathematica-student-discount/,2026-08-13
Zoom,Productivity,No individual discount; institutional pricing only,https://studentdealslab.com/tools/zoom-student-discount/,2026-08-13
